userPrincipalName,userDisplayName,isMfaCapable,isPasswordlessCapable,isSsprCapable,defaultMfaMethod,methodsRegistered,lastUpdatedDateTime
alexander.king@blazefaction.com,Alexander King,False,False,False,none,[],2026-09-22T18:49:13.142503Z
amelia.martin@blazefaction.com,Amelia Martin,False,False,False,none,[],2026-09-18T21:36:33.9174556Z
avery.mitchell@blazefaction.com,Avery Mitchell,False,False,False,none,[],2026-09-18T21:36:33.9141037Z
benjamin.clark@blazefaction.com,Benjamin Clark,False,False,False,none,[],2026-09-18T21:36:33.9199857Z
blaze.carter@blazefaction.com,Blaze Carter,False,False,False,none,[],2026-09-18T21:36:33.91918Z
charlotte.evans@blazefaction.com,Charlotte Evans,False,False,False,none,[],2026-09-18T21:36:34.0483379Z
daniel.kim@blazefaction.com,Daniel Kim,False,False,False,none,[],2026-09-18T21:36:33.9916854Z
ella.thomas@blazefaction.com,Ella Thomas,False,False,False,none,[],2026-09-18T21:36:33.9908352Z
emma.wilson@blazefaction.com,Emma Wilson,False,False,False,none,[],2026-09-18T21:36:33.9899945Z
ethan.brooks@blazefaction.com,Ethan Brooks,False,False,False,none,[],2026-09-18T21:36:34.0372275Z
grace.moore@blazefaction.com,Grace Moore,False,False,False,none,[],2026-09-18T21:36:34.0507815Z
harper.adams@blazefaction.com,Harper Adams,False,False,False,none,[],2026-09-18T21:36:33.9187539Z
henry.turner@blazefaction.com,Henry Turner,False,False,False,none,[],2026-09-18T21:36:33.9275534Z
isabella.garcia@blazefaction.com,Isabella Garcia,False,False,False,none,[],2026-09-18T21:36:33.9177819Z
jackson.lee@blazefaction.com,Jackson Lee,False,False,False,none,[],2026-09-18T21:36:33.9196284Z
james.walker@blazefaction.com,James Walker,False,False,False,none,[],2026-09-18T21:36:33.9195659Z
jgribe@blazefaction.com,Jonathan Gribe,False,False,False,none,[],2026-09-18T21:36:33.9966015Z
jonathan@jsg1220outlook.onmicrosoft.com,Jonathan Admin,True,False,True,microsoftAuthenticatorPush,"[""microsoftAuthenticatorPush"",""softwareOneTimePasscode""]",2026-09-18T21:36:33.918907Z
jsg1220_outlook.com#EXT#@jsg1220outlook.onmicrosoft.com,Jonathan Gribe,True,False,True,microsoftAuthenticatorPush,"[""microsoftAuthenticatorPush"",""softwareOneTimePasscode""]",2026-09-18T21:36:33.9887086Z
liam.foster@blazefaction.com,Liam Foster,False,False,False,none,[],2026-09-18T21:36:33.9798171Z
lucas.bennett@blazefaction.com,Lucas Bennett,False,False,False,none,[],2026-09-18T21:36:33.9183518Z
margaret.simmons@blazefaction.com,Margaret Simmons,False,False,False,none,[],2026-09-18T21:36:33.9731288Z
maya.patel@blazefaction.com,Maya Patel,False,False,False,none,[],2026-09-18T21:36:34.0537779Z
mia.anderson@blazefaction.com,Mia Anderson,False,False,False,none,[],2026-09-18T21:36:33.9851974Z
michael.white@blazefaction.com,Michael White,False,False,False,none,[],2026-09-18T21:36:34.033262Z
Natalie.Johnson@blazefaction.com,Natalie Johnson,False,False,False,none,[],2026-09-18T21:36:33.9825806Z
noah.reynolds@blazefaction.com,Noah Reynolds,False,False,False,none,[],2026-09-18T21:36:34.0403259Z
olivia.scott@blazefaction.com,Olivia Scott,False,False,False,none,[],2026-09-18T21:36:33.9177819Z
sophia.nguyen@blazefaction.com,Sophia Nguyen,False,False,False,none,[],2026-09-18T21:36:33.9715945Z
william.harris@blazefaction.com,William Harris,False,False,False,none,[],2026-09-18T21:36:33.9943108Z
